game_pk,game_date,home_odds,home_id,home_name,home_winner,home_win_pct_to_date,home_last5_o_hardhit,home_last5_o_launch_speed,home_last5_o_launch_angle,home_last5_o_xwoba,home_last_p_hardhit,home_last_p_launch_speed,home_last_p_launch_angle,home_last_p_xwoba,away_odds,away_id,away_name,away_winner,away_win_pct_to_date,away_last5_o_hardhit,away_last5_o_launch_speed,away_last5_o_launch_angle,away_last5_o_xwoba,away_last_p_hardhit,away_last_p_launch_speed,away_last_p_launch_angle,away_last_p_xwoba,home_last5_o_hardhit_diff,home_last5_o_launch_speed_diff,home_last5_o_xwoba_diff,home_last_p_hardhit_diff,home_last_p_launch_speed_diff,home_last_p_xwoba_diff
632169,2021-04-10,-188,137,SF,true,0.5714285714285714,32.98412698412697,85.38000000000001,13.4,0.28240000000000004,34.78260869565217,85.4,7.5,0.294,158,115,COL,false,0.375,34.6449002942138,87.26000000000002,15.4,0.316,NaN,NaN,NaN,NaN,-1.6607733100868245,-1.8800000000000097,-0.03359999999999996,NaN,NaN,NaN
632170,2021-04-11,-134,145,CWS,false,0.5,37.696837007181834,86.88000000000001,9.78,0.3538,50.0,90.7,9.5,0.441,114,118,KC,true,0.5,37.432040774999265,90.12,14.36,0.2796,50.0,90.8,15.2,0.334,0.26479623218256876,-3.239999999999995,0.07419999999999999,0.0,-0.09999999999999432,0.10699999999999998
632188,2021-04-11,-118,137,SF,true,0.625,36.54934437543133,85.76,12.6,0.3198,43.333333333333336,87.4,7.0,0.311,100,115,COL,false,0.3333333333333333,39.06048470979822,88.58000000000001,15.780000000000001,0.33999999999999997,32.58064516129032,85.69999999999999,7.4,0.3185,-2.5111403343668854,-2.8200000000000074,-0.020199999999999996,10.752688172043015,1.700000000000017,-0.007500000000000007
632189,2021-04-13,-158,121,NYM,true,0.625,45.723684210526315,88.03999999999999,12.3,0.34220000000000006,34.78260869565217,82.6,12.0,0.274,134,143,PHI,false,0.6,40.84736852353045,88.72,11.040000000000001,0.33499999999999996,28.000000000000004,85.0,5.6,0.33,4.876315686995866,-0.6800000000000068,0.007200000000000095,6.7826086956521685,-2.4000000000000057,-0.055999999999999994
632190,2021-04-13,-162,142,MIN,false,0.5555555555555556,47.46031746031746,90.86,15.1,0.34900000000000003,36.36363636363637,91.7,8.1,0.241,136,111,BOS,true,0.6666666666666666,43.62656438852211,89.76000000000002,11.4,0.39039999999999997,32.142857142857146,85.8,20.6,0.279,3.83375307179535,1.09999999999998,-0.04139999999999994,4.220779220779221,5.900000000000006,-0.038000000000000034
632191,2021-04-10,-215,119,LAD,true,0.75,40.9995894909688,88.88,10.879999999999999,0.33280000000000004,14.285714285714285,83.2,16.5,0.181,180,120,WSH,false,0.25,40.73395445134576,89.35,4.525,0.29125,NaN,NaN,NaN,NaN,0.26563503962304225,-0.46999999999999886,0.04155000000000003,NaN,NaN,NaN
632193,2021-04-10,136,140,TEX,false,0.42857142857142855,43.424183006535955,89.66,6.5600000000000005,0.30440000000000006,45.45454545454545,88.8,17.0,0.218,-162,135,SD,true,0.625,43.01481481481481,88.26,6.38,0.2968,33.33333333333333,86.5,8.5,0.287,0.4093681917211427,1.3999999999999915,0.007600000000000051,12.121212121212125,2.299999999999997,-0.06899999999999998
632194,2021-04-13,-146,158,MIL,false,0.6,44.92117078323975,89.66000000000001,9.74,0.34540000000000004,40.78674948240166,86.95,9.55,0.2775,124,112,CHC,true,0.4,32.13112491373361,86.8,14.0,0.264,NaN,NaN,NaN,NaN,12.790045869506145,2.8600000000000136,0.08140000000000003,NaN,NaN,NaN
632195,2021-04-10,132,134,PIT,true,0.14285714285714285,32.49193389730475,86.82,12.120000000000001,0.2904,55.00000000000001,92.3,14.8,0.356,-156,112,CHC,false,0.5714285714285714,34.46753246753247,86.17999999999999,12.06,0.3066,40.0,87.7,9.4,0.29,-1.9755985702277243,0.6400000000000006,-0.016199999999999992,15.000000000000007,4.599999999999994,0.066
632196,2021-04-11,-130,138,STL,false,0.625,42.527014567582526,89.16000000000001,11.819999999999999,0.28659999999999997,28.000000000000004,88.7,22.3,0.269,110,158,MIL,true,0.5,40.36040990668939,88.4,7.659999999999999,0.304,40.909090909090914,87.2,7.2,0.375,2.1666046608931353,0.7600000000000051,-0.017400000000000027,-12.90909090909091,1.5,-0.10599999999999998
632197,2021-04-12,-108,118,KC,false,0.5714285714285714,35.40439100541403,88.96000000000001,16.76,0.2524,44.0,90.4,6.7,0.34,-108,108,LAA,true,0.6666666666666666,32.04594017094017,86.28,11.739999999999998,0.32819999999999994,40.0,83.7,-9.0,0.33,3.3584508344738566,2.680000000000007,-0.07579999999999992,4.0,6.700000000000003,0.010000000000000009
632198,2021-04-12,176,134,PIT,false,0.3333333333333333,39.099777034559644,88.5,11.62,0.3196,56.25,92.0,17.6,0.412,-210,135,SD,true,0.7,40.09620009620009,89.53999999999999,9.459999999999999,0.3184,45.238095238095234,88.6,20.4,0.3025,-0.9964230616404492,-1.039999999999992,0.0011999999999999789,11.011904761904766,3.4000000000000057,0.10949999999999999
632199,2021-04-13,-110,145,CWS,false,0.5,32.227032227032225,85.94,13.379999999999999,0.3444,45.68181818181819,89.9,9.2,0.27249999999999996,-106,114,CLE,true,0.5555555555555556,37.589706589706594,89.46,7.5200000000000005,0.33320000000000005,39.52205882352941,92.0,16.95,0.2955,-5.362674362674369,-3.519999999999996,0.011199999999999932,6.159759358288774,-2.0999999999999943,-0.02300000000000002
632200,2021-04-11,124,110,BAL,false,0.5,33.439201451905625,88.28,14.2,0.2468,42.857142857142854,90.2,11.0,0.314,-146,111,BOS,true,0.625,45.323534085491815,89.94000000000001,12.520000000000001,0.3626,45.83333333333333,90.4,11.1,0.275,-11.88433263358619,-1.6600000000000108,-0.11579999999999999,-2.9761904761904745,-0.20000000000000284,0.03899999999999998
632201,2021-04-10,-275,121,NYM,false,0.5,38.875,87.925,8.225000000000001,0.35400000000000004,40.909090909090914,92.6,15.0,0.348,225,146,MIA,true,0.14285714285714285,40.62415458937198,87.9,16.18,0.31720000000000004,35.294117647058826,89.8,23.6,0.211,-1.749154589371983,0.024999999999991473,0.0368,5.614973262032088,2.799999999999997,0.13699999999999998
632202,2021-04-10,-168,117,HOU,false,0.75,39.80687226656432,88.22,11.559999999999999,0.3348,54.54545454545454,91.9,20.8,0.283,142,133,OAK,true,0.2222222222222222,44.7911219215567,88.96,12.5,0.3376,43.75,91.2,7.2,0.319,-4.984249654992382,-0.7399999999999949,-0.0028000000000000247,10.79545454545454,0.7000000000000028,-0.03600000000000003
632203,2021-04-12,154,141,TOR,false,0.4444444444444444,42.33877678385687,90.02,12.28,0.26799999999999996,NaN,NaN,NaN,NaN,-184,147,NYY,true,0.4444444444444444,38.965689042415384,89.02000000000001,11.52,0.3122,42.934782608695656,92.95,25.45,0.203,3.3730877414414877,0.9999999999999858,-0.04420000000000002,NaN,NaN,NaN
632204,2021-04-12,-240,139,TB,true,0.4444444444444444,38.92343308865048,87.2,11.7,0.2888,30.870279146141215,88.25,15.3,0.18,198,140,TEX,false,0.3333333333333333,42.31983518044899,87.84,4.9399999999999995,0.2994,54.166666666666664,92.5,21.5,0.243,-3.396402091798514,-0.6400000000000006,-0.010599999999999998,-23.29638752052545,-4.25,-0.063
632205,2021-04-10,-190,142,MIN,false,0.7142857142857143,49.682539682539684,92.12,14.059999999999999,0.37279999999999996,43.47826086956522,87.3,6.3,0.257,160,136,SEA,true,0.42857142857142855,36.140670923279615,86.25999999999999,13.060000000000002,0.2948,45.45454545454545,92.4,9.5,0.306,13.541868759260069,5.860000000000014,0.07799999999999996,-1.9762845849802346,-5.1000000000000085,-0.04899999999999999
632206,2021-04-13,108,109,AZ,false,0.36363636363636365,31.20835296637395,85.84,14.8,0.3196,NaN,NaN,NaN,NaN,-126,133,OAK,true,0.36363636363636365,39.73617686661164,87.86,13.280000000000001,0.3502,40.80459770114942,89.8,16.2,0.3225,-8.527823900237692,-2.019999999999996,-0.030600000000000016,NaN,NaN,NaN
632207,2021-04-11,-162,144,ATL,false,0.5,48.54037267080745,91.6,13.720000000000002,0.33940000000000003,56.00000000000001,92.4,7.9,0.372,136,143,PHI,true,0.625,42.0997942587148,89.96,8.2,0.32739999999999997,60.0,95.1,10.5,0.336,6.440578412092648,1.6400000000000006,0.012000000000000066,-3.999999999999993,-2.6999999999999886,0.035999999999999976
632208,2021-08-10,-158,141,TOR,false,0.5495495495495496,38.07607574417919,89.34,16.72,0.30100000000000005,37.53738109533276,87.43684210526315,10.315789473684209,0.31231578947368416,134,108,LAA,true,0.49557522123893805,19.59900145620969,82.9,10.46,0.2638,35.0,87.6,5.0,0.319,18.4770742879695,6.439999999999998,0.037200000000000066,2.537381095332762,-0.16315789473684106,-0.006684210526315848
632209,2021-04-11,100,109,AZ,true,0.3333333333333333,31.244699872286077,86.48,13.559999999999999,0.286,34.21052631578947,89.4,13.8,0.359,-118,113,CIN,false,0.75,44.887681159420296,89.84,15.120000000000001,0.38680000000000003,35.294117647058826,85.0,12.3,0.286,-13.64298128713422,-3.3599999999999994,-0.10080000000000006,-1.0835913312693535,4.400000000000006,0.07300000000000001
632210,2021-04-13,108,118,KC,true,0.5,32.31348191450493,87.85999999999999,13.440000000000003,0.2616,47.82608695652174,90.6,23.8,0.343,-126,108,LAA,false,0.7,34.45334757834758,87.14,10.1,0.325,42.79176201372998,88.85,12.35,0.2445,-2.1398656638426488,0.7199999999999847,-0.06340000000000001,5.034324942791763,1.75,0.09850000000000003
632211,2021-04-13,-188,144,ATL,false,0.4,48.58095238095238,91.2,14.16,0.339,34.666666666666664,86.65,5.8999999999999995,0.3115,158,146,MIA,true,0.2727272727272727,38.07878894560817,85.04,15.12,0.2878,45.0,88.15,7.85,0.374,10.502163435344215,6.159999999999997,0.05120000000000002,-10.333333333333336,-1.5,-0.0625
632212,2021-04-13,-350,119,LAD,true,0.8,42.9328193046334,90.24000000000001,15.379999999999999,0.3366,43.18181818181819,87.4,12.8,0.347,280,115,COL,false,0.3,39.418379446640316,87.6,13.26,0.3234,37.93793793793794,88.44999999999999,9.5,0.28350000000000003,3.5144398579930822,2.640000000000015,0.01319999999999999,5.243880243880248,-1.049999999999983,0.06349999999999995
632213,2021-04-13,-130,110,BAL,false,0.5,40.13195507509403,88.66,13.639999999999997,0.3084,35.43417366946778,88.15,14.85,0.2645,120,136,SEA,true,0.5,42.19163894576189,88.04,15.02,0.34740000000000004,37.93103448275862,90.2,2.6,0.374,-2.059683870667861,0.6199999999999903,-0.039000000000000035,-2.496860813290837,-2.049999999999997,-0.10949999999999999
632214,2021-04-11,-198,119,LAD,true,0.7777777777777778,43.11139073320482,90.52,12.559999999999999,0.33940000000000003,40.625,85.95,13.600000000000001,0.2815,166,120,WSH,false,0.2,41.07201204592509,89.5,4.86,0.3184,39.130434782608695,88.0,19.8,0.389,2.0393786872797293,1.019999999999996,0.02100000000000002,1.4945652173913047,-2.049999999999997,-0.10750000000000004
632215,2021-04-11,-194,142,MIN,false,0.625,50.29556650246305,91.66,15.12,0.366,56.666666666666664,96.0,9.9,0.422,162,136,SEA,true,0.5,38.149666425528494,86.9,14.460000000000003,0.2846,30.0,86.1,22.1,0.23,12.14590007693456,4.759999999999991,0.08139999999999997,26.666666666666664,9.900000000000006,0.19199999999999998
632216,2021-04-12,-134,145,CWS,true,0.4444444444444444,36.00371531406014,86.97999999999999,11.68,0.366,45.81939799331104,88.5,12.15,0.344,114,114,CLE,false,0.625,41.700378526465485,91.0,11.84,0.34400000000000003,NaN,NaN,NaN,NaN,-5.696663212405348,-4.02000000000001,0.021999999999999964,NaN,NaN,NaN
632217,2021-04-10,104,139,TB,true,0.42857142857142855,40.28509316770186,86.64000000000001,13.779999999999998,0.2912,NaN,NaN,NaN,NaN,-122,147,NYY,false,0.42857142857142855,39.11114358786993,89.60000000000001,12.879999999999999,0.31779999999999997,35.714285714285715,86.6,15.2,0.384,1.1739495798319268,-2.9599999999999937,-0.026599999999999957,NaN,NaN,NaN
632218,2021-04-10,-180,114,CLE,true,0.5,45.27384209992906,91.9,17.639999999999997,0.35019999999999996,33.33333333333333,79.5,23.2,0.262,152,116,DET,false,0.42857142857142855,44.65367965367965,90.24,11.98,0.311,33.33333333333333,90.6,29.9,0.344,0.6201624462494095,1.6600000000000108,0.03919999999999996,0.0,-11.099999999999994,-0.08199999999999996
632219,2021-04-12,-168,144,ATL,false,0.4444444444444444,49.38095238095238,91.97999999999999,12.2,0.3442,21.428571428571427,84.3,-7.6,0.202,142,146,MIA,true,0.2,41.92494279176201,85.76,15.719999999999999,0.28959999999999997,42.72727272727273,87.8,9.6,0.249,7.456009589190373,6.219999999999985,0.05460000000000004,-21.2987012987013,-3.5,-0.046999999999999986
632220,2021-04-12,-240,117,HOU,false,0.6666666666666666,39.11208318467847,87.43999999999998,11.1,0.3246,35.34798534798534,87.3,17.5,0.247,198,116,DET,true,0.3333333333333333,42.920346320346326,90.32000000000001,7.9399999999999995,0.2886,50.0,90.8,15.0,0.341,-3.8082631356678576,-2.880000000000024,0.035999999999999976,-14.652014652014657,-3.5,-0.09400000000000003
632221,2021-04-12,-158,158,MIL,true,0.5555555555555556,41.81340135968085,88.96000000000001,10.120000000000001,0.34540000000000004,13.333333333333334,76.2,11.2,0.24,134,112,CHC,false,0.4444444444444444,29.242236024844722,85.5,11.16,0.267,36.84210526315789,85.5,3.9,0.266,12.571165334836131,3.460000000000008,0.07840000000000003,-23.508771929824555,-9.299999999999997,-0.026000000000000023
632222,2021-04-10,-116,138,STL,false,0.7142857142857143,42.13292589763178,89.0,11.98,0.26899999999999996,33.33333333333333,83.9,9.6,0.389,-102,158,MIL,true,0.42857142857142855,37.54091056545092,87.38000000000001,6.26,0.26080000000000003,41.37931034482759,91.5,12.2,0.37,4.592015332180857,1.6199999999999903,0.00819999999999993,-8.045977011494259,-7.599999999999994,0.019000000000000017
632223,2021-04-14,-148,142,MIN,false,0.45454545454545453,42.93650793650794,90.66,13.38,0.3412,36.36363636363636,86.15,16.7,0.266,126,111,BOS,true,0.7272727272727273,50.61438561438562,91.38,10.54,0.4098,47.368421052631575,92.2,10.8,0.264,-7.677877677877682,-0.7199999999999989,-0.0686,-11.004784688995215,-6.049999999999997,0.0020000000000000018
632224,2021-04-13,-130,110,BAL,true,0.4,40.30586811857229,88.62,10.679999999999998,0.31920000000000004,42.857142857142854,95.0,17.9,0.365,120,136,SEA,false,0.6,43.49598677184885,88.0,15.48,0.33140000000000003,NaN,NaN,NaN,NaN,-3.1901186532765564,0.6200000000000045,-0.012199999999999989,NaN,NaN,NaN
632226,2021-04-13,110,121,NYM,true,0.625,40.05952380952381,86.39999999999999,11.040000000000001,0.3506,47.72413793103448,86.53333333333335,12.100000000000001,0.3,-120,143,PHI,false,0.6,36.08546376162568,87.32,10.32,0.31179999999999997,40.925925925925924,88.25,7.2,0.351,3.974060047898128,-0.9200000000000017,0.03880000000000006,6.798212005108553,-1.7166666666666544,-0.05099999999999999
632228,2021-04-11,-198,114,CLE,true,0.5714285714285714,42.652759478846434,91.53999999999999,16.54,0.3436,39.130434782608695,90.2,11.7,0.326,166,116,DET,false,0.375,47.58701298701298,91.8,9.1,0.32020000000000004,55.55555555555556,94.8,13.3,0.418,-4.934253508166549,-0.2600000000000051,0.023399999999999976,-16.425120772946862,-4.599999999999994,-0.09199999999999997
632229,2021-04-13,-184,117,HOU,false,0.6,38.66763874023402,87.82000000000001,12.44,0.3236,NaN,NaN,NaN,NaN,154,116,DET,true,0.4,43.647619047619045,89.28,10.8,0.315,38.73626373626374,86.9,15.350000000000001,0.3205,-4.979980307385027,-1.4599999999999937,0.008599999999999997,NaN,NaN,NaN
632230,2021-04-12,-138,138,STL,false,0.5555555555555556,46.13485770483742,89.78,9.26,0.3202,34.78260869565217,86.4,12.0,0.336,118,120,WSH,true,0.16666666666666666,37.07201204592509,87.38000000000001,5.5,0.2944,40.0,91.9,4.3,0.31,9.06284565891233,2.3999999999999915,0.02579999999999999,-5.217391304347828,-5.5,0.026000000000000023
632231,2021-04-12,106,109,AZ,false,0.4,35.07078682880781,87.16,14.24,0.3154,52.173913043478265,91.6,16.2,0.3675,-124,133,OAK,true,0.3,42.81309994353472,88.24,15.580000000000002,0.34400000000000003,55.86206896551724,92.55,10.75,0.4555,-7.742313114726912,-1.0799999999999983,-0.028600000000000014,-3.6881559220389732,-0.9500000000000028,-0.08800000000000002
632232,2021-04-11,138,139,TB,false,0.5,39.90828157349897,87.02,11.86,0.28500000000000003,NaN,NaN,NaN,NaN,-164,147,NYY,true,0.375,38.96568904241538,89.56000000000002,12.319999999999999,0.3056,16.666666666666664,86.5,13.4,0.226,0.9425925310835908,-2.5400000000000205,-0.02059999999999995,NaN,NaN,NaN
632233,2021-04-11,142,140,TEX,false,0.375,43.319835180449,89.02000000000001,7.26,0.29460000000000003,52.17391304347826,94.1,6.7,0.339,-168,135,SD,true,0.6666666666666666,40.9057239057239,88.67999999999999,7.5,0.3088,44.44444444444444,86.7,11.0,0.384,2.4141112747250943,0.3400000000000176,-0.01419999999999999,7.729468599033815,7.3999999999999915,-0.044999999999999984
